purchase_date,gmv_proxy,orders,items,active_sellers,active_customers,aov,late_orders,late_delivery_rate,avg_review_score
2017-06-13,14016.09,125,141,91,124,112.12872,3,0.024793388429752067,4.222222222222222
2017-06-14,20441.670000000002,130,147,89,126,157.2436153846154,9,0.0703125,4.080152671755725
2017-06-15,12737.67,107,120,85,103,119.04364485981309,5,0.04854368932038835,4.027777777777778
2017-06-16,12908.23,97,105,73,96,133.07453608247422,6,0.06382978723404255,4.15625
2017-06-17,11264.77,74,84,59,73,152.22662162162163,3,0.041666666666666664,3.9864864864864864
2017-06-18,17836.16,90,101,68,88,198.17955555555557,1,0.011494252873563218,4.205555555555556
2017-06-19,22764.83,156,179,101,152,145.92839743589744,8,0.05263157894736842,4.090909090909091
2017-06-20,10968.33,92,107,71,92,119.22097826086956,3,0.03333333333333333,3.882978723404255
2017-06-21,6183.65,35,38,32,35,176.67571428571426,2,0.058823529411764705,4.428571428571429
2017-06-22,8826.81,88,98,72,87,100.30465909090908,5,0.060240963855421686,4.063953488372093
2017-06-23,13282.98,107,117,80,106,124.14,0,0.0,4.420560747663552
2017-06-24,8325.65,76,81,54,75,109.54802631578947,6,0.08108108108108109,4.133333333333334
2017-06-25,17646.18,105,117,72,102,168.05885714285714,2,0.020202020202020204,4.161904761904762
2017-06-26,13414.76,72,83,64,69,186.31611111111113,4,0.05970149253731343,4.166666666666667
2017-06-27,16681.61,140,153,96,140,119.15435714285715,3,0.02142857142857143,4.178571428571429
2017-06-28,14655.82,120,128,86,119,122.13183333333333,5,0.042735042735042736,4.159663865546219
2017-06-29,12169.53,110,122,77,108,110.63209090909092,4,0.03636363636363636,4.178571428571429
2017-06-30,12736.89,93,97,73,93,136.9558064516129,4,0.043010752688172046,4.347368421052631
2017-07-01,12151.75,80,94,68,80,151.896875,1,0.012987012987012988,4.0375
2017-07-02,11489.44,105,118,73,104,109.4232380952381,3,0.029411764705882353,4.19811320754717
2017-07-03,16611.05,117,131,83,116,141.97478632478632,3,0.02702702702702703,4.213675213675214
2017-07-04,15484.24,123,134,95,121,125.88813008130082,10,0.08333333333333333,4.049180327868853
2017-07-05,20789.56,140,162,108,137,148.49685714285715,5,0.036231884057971016,4.0979020979020975
2017-07-06,22223.72,148,162,94,146,150.16027027027027,4,0.02857142857142857,4.143790849673203
2017-07-07,13662.87,117,134,75,117,116.77666666666667,2,0.017543859649122806,4.338983050847458
2017-07-08,10206.86,83,91,64,82,122.97421686746989,0,0.0,4.445783132530121
2017-07-09,8197.380000000001,90,98,70,90,91.08200000000001,3,0.03409090909090909,4.0
2017-07-10,17326.93,140,156,92,137,123.76378571428572,8,0.05714285714285714,4.339160839160839
2017-07-11,20213.79,162,184,108,161,124.77648148148148,5,0.03164556962025317,4.2682926829268295
2017-07-12,19180.22,149,166,116,149,128.72630872483222,6,0.041379310344827586,4.046357615894039
2017-07-13,14531.0,137,155,88,135,106.06569343065694,5,0.03816793893129771,4.043795620437956
2017-07-14,18745.15,149,168,91,147,125.80637583892619,1,0.006756756756756757,4.168918918918919
2017-07-15,10930.56,98,112,73,98,111.53632653061224,3,0.030927835051546393,4.2631578947368425
2017-07-16,13421.6,112,148,81,111,119.83571428571429,7,0.06542056074766354,4.054054054054054
2017-07-17,21554.98,163,194,104,160,132.23914110429448,7,0.043209876543209874,4.136178861788618
2017-07-18,28238.2,190,220,110,186,148.6221052631579,10,0.05319148936170213,4.109947643979058
2017-07-19,16545.34,150,171,99,147,110.30226666666667,3,0.02027027027027027,4.1568627450980395
2017-07-20,19174.08,141,168,92,141,135.9863829787234,4,0.02877697841726619,4.212765957446808
2017-07-21,13448.85,114,131,84,111,117.97236842105264,4,0.03571428571428571,4.113043478260869
2017-07-22,11456.81,88,101,68,84,130.19102272727272,2,0.022988505747126436,4.119318181818182
2017-07-23,12117.61,104,107,80,103,116.51548076923078,1,0.009900990099009901,4.238095238095238
2017-07-24,19662.62,161,180,113,158,122.12807453416148,8,0.050955414012738856,4.24223602484472
2017-07-25,17482.53,151,171,105,149,115.77834437086092,6,0.041379310344827586,4.073333333333333
2017-07-26,11265.23,123,146,91,120,91.58723577235772,3,0.02564102564102564,4.383064516129032
2017-07-27,15693.93,123,138,93,122,127.5929268292683,4,0.03305785123966942,4.221774193548387
2017-07-28,20043.16,132,153,96,129,151.8421212121212,3,0.023076923076923078,4.378787878787879
2017-07-29,15964.27,115,130,88,112,138.81973913043478,5,0.045871559633027525,4.0
2017-07-30,12944.87,117,130,89,116,110.63991452991453,1,0.008771929824561403,4.217391304347826
2017-07-31,17272.88,147,166,101,143,117.5025850340136,6,0.04195804195804196,4.166666666666667
2017-08-01,21745.04,165,185,120,164,131.7881212121212,7,0.043478260869565216,4.216049382716049
2017-08-02,18147.0,155,172,107,155,117.07741935483871,4,0.026845637583892617,3.968152866242038
2017-08-03,19125.510000000002,146,166,104,145,130.99664383561645,4,0.027777777777777776,4.383561643835616
2017-08-04,18361.62,141,161,102,138,130.22425531914894,4,0.02877697841726619,4.274647887323944
2017-08-05,11946.91,115,126,83,113,103.88617391304348,2,0.017699115044247787,4.334782608695652
2017-08-06,14181.14,108,122,83,107,131.30685185185186,5,0.047619047619047616,4.0963302752293576
2017-08-07,23257.84,157,182,119,155,148.1391082802548,6,0.03821656050955414,4.343949044585988
2017-08-08,18661.63,146,159,104,145,127.81938356164385,7,0.04794520547945205,4.335616438356165
2017-08-09,20756.52,142,161,98,142,146.17267605633802,2,0.014285714285714285,4.274647887323944
2017-08-10,19961.55,155,179,112,151,128.7841935483871,6,0.03896103896103896,4.25796178343949
2017-08-11,20039.24,138,164,102,135,145.21188405797102,3,0.022556390977443608,4.195035460992908
2017-08-12,13980.86,97,108,78,95,144.13257731958763,3,0.03296703296703297,4.2105263157894735
2017-08-13,12334.19,92,109,74,92,134.06728260869565,2,0.022222222222222223,4.197916666666667
2017-08-14,18156.37,156,176,105,153,116.38698717948718,3,0.0196078431372549,4.253164556962025
2017-08-15,23727.260000000002,193,210,122,189,122.93917098445597,5,0.026881720430107527,4.253886010362694
2017-08-16,23950.42,173,207,120,169,138.44173410404622,9,0.05421686746987952,4.2748538011695905
2017-08-17,18357.91,155,169,113,153,118.43812903225806,7,0.0457516339869281,4.19620253164557
2017-08-18,17132.01,146,160,108,145,117.34253424657533,4,0.028368794326241134,4.220689655172414
2017-08-19,12910.13,108,128,76,108,119.53824074074073,2,0.018867924528301886,4.150943396226415
2017-08-20,12873.78,103,118,83,102,124.98815533980583,1,0.009708737864077669,4.223300970873787
2017-08-21,22219.35,177,212,131,175,125.53305084745762,5,0.029069767441860465,4.278409090909091
2017-08-22,16627.12,136,161,110,132,122.25823529411764,3,0.022222222222222223,4.255474452554744
2017-08-23,15873.61,111,158,87,109,143.0054954954955,3,0.02702702702702703,4.225225225225225
2017-08-24,13361.11,126,143,99,124,106.04055555555556,4,0.032520325203252036,4.2204724409448815
2017-08-25,15163.32,123,135,91,119,123.2790243902439,7,0.05982905982905983,4.090163934426229
2017-08-26,10141.69,93,99,79,93,109.05043010752689,2,0.02247191011235955,4.25
2017-08-27,13367.88,118,143,95,116,113.28711864406779,2,0.017391304347826087,4.138655462184874
2017-08-28,22244.52,155,172,116,150,143.51303225806453,6,0.04,4.377483443708609
2017-08-29,33756.48,137,155,93,136,246.39766423357668,9,0.06666666666666667,4.193430656934306
2017-08-30,30938.16,178,198,122,173,173.80988764044943,4,0.023121387283236993,4.293296089385475
