purchase_month,category,gmv_proxy,orders,avg_review,late_rate,active_sellers,gmv_per_seller,gmv_share,gmv_growth
2017-03,agro_industry_and_commerce,81.99000000000001,2,2.0,,2,40.995000000000005,0.0002190229689619,-0.6353406867105497
2017-03,air_conditioning,4103.81,16,4.411764705882353,,4,1025.9525,0.0109626619131104,0.32581979129648175
2017-03,art,223.25,5,4.0,,4,55.8125,0.0005963761168528,
2017-03,audio,1134.77,13,3.857142857142857,,5,226.954,0.0030313537564215,5.927777777777777
2017-03,auto,14482.07,76,4.080459770114943,,34,425.94323529411764,0.0386864979645743,0.10026059077371907
2017-03,baby,3724.08,43,4.25,,25,148.9632,0.0099482748902547,0.22161864273342768
2017-03,bed_bath_table,25773.02,249,3.929824561403509,,25,1030.9208,0.0688484371205865,0.5828439088531223
2017-03,books_general_interest,2648.96,20,4.24,,6,441.49333333333334,0.007076266421046,2.4281425114208433
2017-03,books_technical,75.0,2,5.0,,2,37.5,0.0002003503192114,-0.5283018867924528
2017-03,computers_accessories,28624.6,150,3.8554913294797686,,39,733.9641025641025,0.0764659699640144,1.3908444204637425
2017-03,consoles_games,10768.84,48,3.857142857142857,,16,673.0525,0.0287672070871654,1.5074311313527846
2017-03,construction_tools_construction,773.4,4,1.75,,3,257.8,0.0020660124917088,1.296386472282431
2017-03,construction_tools_safety,380.0,2,1.0,,1,380.0,0.0010151082840048,0.0026385224274405594
2017-03,cool_stuff,21095.21,121,4.414634146341464,,41,514.5173170731707,0.0563524274311108,0.5832965564862349
2017-03,drinks,463.87,4,3.6,,3,154.62333333333333,0.001239153367635,
2017-03,dvds_blu_ray,1873.7,4,3.2,,3,624.5666666666667,0.0050052852414207,124.75167785234899
2017-03,electronics,3986.0,32,4.351351351351352,,17,234.47058823529412,0.010647951631693,2.270295770603438
2017-03,fashio_female_clothing,19.9,1,3.0,,1,19.9,5.315961803078075e-05,-0.9565312363477501
2017-03,fashion_bags_accessories,4861.16,62,4.328358208955224,,18,270.06444444444446,0.012985799436508,1.0475715110083357
2017-03,fashion_male_clothing,580.8,7,4.0,,4,145.2,0.0015515128719737,-0.09652329470327459
2017-03,fashion_shoes,1515.0,13,4.571428571428571,,3,505.0,0.004047076448072,13.152265296590379
2017-03,fashion_sport,39.9,1,5.0,,1,39.9,0.0001065863698205,
2017-03,fashion_underwear_beach,394.14,6,3.8333333333333335,,4,98.535,0.0010528809975201,-0.007129002191601508
2017-03,fixed_telephony,1592.35,15,3.142857142857143,,10,159.23499999999999,0.0042537044106187,1.0973222870539887
2017-03,food,2667.56,22,3.9583333333333335,,5,533.512,0.0071259533002105,2.7275687156770956
2017-03,food_drink,110.8,5,5.0,,4,27.7,0.0002959842049151,
2017-03,furniture_decor,23477.63,265,3.969325153374233,,74,317.26527027027026,0.0627166755310552,0.11872286894658868
2017-03,furniture_living_room,3324.0,17,4.173913043478261,,5,664.8,0.008879526147453,-0.12333218167384474
2017-03,garden_tools,23747.15,121,3.931972789115646,,32,742.0984375,0.0634366544381736,0.8066074231186775
2017-03,health_beauty,25995.25,193,4.276190476190476,,50,519.905,0.0694420884730981,0.13820609585709231
2017-03,home_appliances,313.3,9,4.3,,4,78.325,0.0008369300667861,-0.5771359157781077
2017-03,home_appliances_2,500.9,2,4.0,,2,250.45,0.0013380729985737,30.32582864290181
2017-03,home_comfort_2,342.88,3,4.666666666666667,,2,171.44,0.0009159482326831,3.70989010989011
2017-03,home_confort,2123.4,12,3.769230769230769,,4,530.85,0.0056723182375155,4.120821878165244
2017-03,home_construction,591.96,5,4.3,,3,197.32000000000002,0.0015813249994724,-0.14899367452558943
2017-03,housewares,13511.81,178,4.096059113300493,,46,293.735,0.0360946059549991,0.06731139121319907
2017-03,industry_commerce_and_business,238.0,2,4.0,,1,238.0,0.0006357783462977,1.0
2017-03,kitchen_dining_laundry_garden_furniture,113.98,3,4.0,,2,56.99,0.0003044790584496,-0.18527519656897784
2017-03,luggage_accessories,5924.01,35,4.578947368421052,,5,1184.8020000000001,0.0158250305934937,2.496682760981714
2017-03,market_place,1808.59,17,4.411764705882353,,12,150.71583333333334,0.0048313544509693,0.0712999490587718
2017-03,music,27.99,1,5.0,,1,27.99,7.47707391297263e-05,0.4136363636363636
2017-03,musical_instruments,1667.33,9,2.7,,7,238.19,0.0044540013030784,-0.24938323849312116
2017-03,office_furniture,11783.51,60,3.2,,5,2356.702,0.0314777331990897,-0.0019032727482173328
