days_since_won,at_risk,events,censored,survival,cumulative_activation,metric_version
72.9552,506,1,0,0.6480084025994917,0.35199159740050834,v3
73.0593,505,0,1,0.6480084025994917,0.35199159740050834,v3
73.0831,504,0,1,0.6480084025994917,0.35199159740050834,v3
73.3684,503,1,0,0.6467201155167889,0.3532798844832111,v3
73.4776,502,0,1,0.6467201155167889,0.3532798844832111,v3
73.5544,501,1,0,0.6454292570027833,0.3545707429972167,v3
74.4318,500,1,0,0.6441383984887777,0.35586160151122226,v3
74.6056,499,1,0,0.6428475399747722,0.3571524600252278,v3
75.1012,498,1,0,0.6415566814607666,0.3584433185392334,v3
75.1036,497,0,1,0.6415566814607666,0.3584433185392334,v3
75.2851,496,0,1,0.6415566814607666,0.3584433185392334,v3
75.8372,495,1,0,0.6402606073568055,0.35973939264319454,v3
76.0557,494,1,0,0.6389645332528443,0.3610354667471557,v3
76.7495,493,1,0,0.6376684591488831,0.36233154085111685,v3
76.7944,492,1,0,0.636372385044922,0.363627614955078,v3
76.9061,491,1,0,0.6350763109409608,0.36492368905903916,v3
77.7928,490,1,0,0.6337802368369997,0.3662197631630003,v3
78.0058,489,1,0,0.6324841627330385,0.36751583726696146,v3
78.1004,488,1,0,0.6311880886290774,0.3688119113709226,v3
78.8681,487,1,0,0.6298920145251162,0.37010798547488377,v3
79.0192,486,1,0,0.6285959404211551,0.3714040595788449,v3
79.0267,485,1,0,0.6272998663171939,0.3727001336828061,v3
79.5041,484,0,1,0.6272998663171939,0.3727001336828061,v3
79.875,483,0,1,0.6272998663171939,0.3727001336828061,v3
80.0861,482,0,1,0.6272998663171939,0.3727001336828061,v3
80.3287,481,1,0,0.6259957085909628,0.37400429140903724,v3
80.4676,480,0,1,0.6259957085909628,0.37400429140903724,v3
80.8316,479,1,0,0.6246888281972447,0.3753111718027553,v3
80.936,478,1,0,0.6233819478035266,0.3766180521964734,v3
80.9833,477,1,0,0.6220750674098086,0.37792493259019144,v3
81.4481,476,0,1,0.6220750674098086,0.37792493259019144,v3
81.6301,475,1,0,0.6207654356889458,0.3792345643110542,v3
81.8931,474,1,0,0.6194558039680831,0.3805441960319169,v3
82.0044,473,1,0,0.6181461722472203,0.38185382775277965,v3
82.1198,472,0,1,0.6181461722472203,0.38185382775277965,v3
82.3458,471,1,0,0.6168337599919184,0.38316624000808164,v3
82.4788,470,0,1,0.6168337599919184,0.38316624000808164,v3
83.121,469,0,1,0.6168337599919184,0.38316624000808164,v3
83.1575,468,1,0,0.6155157391372348,0.3844842608627652,v3
83.2563,467,0,1,0.6155157391372348,0.3844842608627652,v3
83.388,466,0,1,0.6155157391372348,0.3844842608627652,v3
83.4168,465,0,1,0.6155157391372348,0.3844842608627652,v3
83.4475,464,0,1,0.6155157391372348,0.3844842608627652,v3
84.2698,463,1,0,0.6141863314933098,0.3858136685066902,v3
84.3602,462,1,0,0.612856923849385,0.38714307615061505,v3
86.1413,461,1,0,0.6115275162054601,0.3884724837945399,v3
86.1877,460,0,1,0.6115275162054601,0.3884724837945399,v3
86.3761,459,1,0,0.6101952122485854,0.3898047877514146,v3
86.3882,458,0,1,0.6101952122485854,0.3898047877514146,v3
86.875,457,0,1,0.6101952122485854,0.3898047877514146,v3
86.9141,456,1,0,0.6088570648533035,0.3911429351466965,v3
87.0087,455,1,0,0.6075189174580216,0.39248108254197844,v3
87.3291,454,1,0,0.6061807700627395,0.3938192299372605,v3
87.8542,453,1,0,0.6048426226674575,0.3951573773325425,v3
88.2017,452,0,1,0.6048426226674575,0.3951573773325425,v3
