seller_id,month,orders,items,gmv_proxy,aov,active_flag,customer_count,category_count,avg_review_score_proxy,review_eligible_orders
01bcc9d254a0143f0ce9791b960b2a47,2018-02,1,1,165.9,165.9,1,1,1,5.0,1.0
01c97ebb5cdac52891c0ed1c37ba0012,2017-04,2,2,58.8,29.4,1,2,1,4.5,2.0
01c97ebb5cdac52891c0ed1c37ba0012,2017-07,1,1,29.4,29.4,1,1,1,5.0,1.0
01c97ebb5cdac52891c0ed1c37ba0012,2017-08,1,1,29.4,29.4,1,1,1,5.0,1.0
01c97ebb5cdac52891c0ed1c37ba0012,2017-11,1,2,58.8,58.8,1,1,1,4.0,1.0
01c97ebb5cdac52891c0ed1c37ba0012,2018-03,3,5,326.2,108.73333333333333,1,3,1,3.3333333333333335,3.0
01c97ebb5cdac52891c0ed1c37ba0012,2018-07,1,1,74.9,74.9,1,1,1,5.0,1.0
01cf7e3d21494c41fb86034f2e714fa1,2016-10,1,1,69.9,69.9,1,1,1,5.0,1.0
01cf7e3d21494c41fb86034f2e714fa1,2017-01,6,6,980.8000000000001,163.46666666666667,1,6,3,4.6,6.0
01cf7e3d21494c41fb86034f2e714fa1,2017-02,3,3,232.0,77.33333333333333,1,3,2,5.0,3.0
01cf7e3d21494c41fb86034f2e714fa1,2017-03,14,15,1274.06,91.00428571428571,1,14,3,4.428571428571429,14.0
01cf7e3d21494c41fb86034f2e714fa1,2017-04,9,10,1813.56,201.50666666666666,1,9,2,3.888888888888889,9.0
01cf7e3d21494c41fb86034f2e714fa1,2017-05,3,3,1246.99,415.66333333333336,1,3,2,4.333333333333333,3.0
01cf7e3d21494c41fb86034f2e714fa1,2017-06,1,1,89.9,89.9,1,1,1,4.0,1.0
01cf7e3d21494c41fb86034f2e714fa1,2017-07,9,12,1164.8000000000002,129.42222222222225,1,9,2,3.5555555555555554,9.0
01cf7e3d21494c41fb86034f2e714fa1,2017-08,10,11,1811.45,181.145,1,10,6,4.1,10.0
01cf7e3d21494c41fb86034f2e714fa1,2018-02,5,5,1045.9,209.18,1,5,1,3.8,5.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-08,2,2,678.0,339.0,1,2,1,5.0,2.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-09,1,1,339.0,339.0,1,1,1,5.0,1.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-10,1,1,349.0,349.0,1,1,1,5.0,1.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-11,1,1,99.99,99.99,1,1,1,5.0,1.0
01fd077212124329bac32490e8ef80d9,2018-04,7,7,198.0,28.285714285714285,1,7,4,3.5,6.0
01fd077212124329bac32490e8ef80d9,2018-05,4,9,205.0,51.25,1,4,4,4.75,4.0
01fd077212124329bac32490e8ef80d9,2018-06,3,3,69.0,23.0,1,3,2,4.333333333333333,3.0
